################################################################################
##                                                                            ##
## This file contains the default FATDMA allocations in a tab separated form. ##
## Lines starting with hash (#) are considered comments.                      ##
##                                                                            ##
################################################################################


	487	0, 1, 2 or 3	0 or 1125	1052	0, 1, 2 or 3	0 or 1125	General purpose *		   
24-II	210	1	250 or 750	85 or 585	1	250 or 750	Base Station report*	210	   
	189	1	0 or 1125	764	1	0 or 1125	Data Link  Management + general purpose *		   
	1052	0, 1, 2 or 3	0 or 1125	487	0, 1, 2 or 3	0 or 1125	General purpose *		 
25-I	86	1	250 or 750	211 or 461	1	250 or 750	Base Station report*	86	   
	494	1	0 or 1125	1062	1	0 or 1125	Data Link  Management + general purpose *		   
	777	0, 1, 2 or 3	0 or 1125	202	0, 1, 2 or 3	0 or 1125	General purpose *		   
25-II	211	1	250 or 750	86 or 586	1	250 or 750	Base Station report*	211	   
	1062	1	0 or 1125	494	1	0 or 1125	Data Link  Management + general purpose *		   
	202	0, 1, 2 or 3	0 or 1125	777	0, 1, 2 or 3	0 or 1125	General purpose *		   
26-I	94	1	250 or 750	219 or 469	1	250 or 750	Base Station report*	94	   
	495	1	0 or 1125	1063	1	0 or 1125	Data Link  Management + general purpose *		   
	787	0, 1, 2 or 3	0 or 1125	212	0, 1, 2 or 3	0 or 1125	General purpose *		   
26-II	219	1	250 or 750	94 or 594	1	250 or 750	Base Station report*	219	   
	1063	1	0 or 1125	495	1	0 or 1125	Data Link  Management + general purpose *		   
	212	0, 1, 2 or 3	0 or 1125	787	0, 1, 2 or 3	0 or 1125	General purpose *		   
27-I	95	1	250 or 750	220 or 470	1	250 or 750	Base Station report*	95	   
	496	1	0 or 1125	1064	1	0 or 1125	Data Link  Management + general purpose *		   
	802	0, 1, 2 or 3	0 or 1125	227	0, 1, 2 or 3	0 or 1125	General purpose *		   
27-II	220	1	250 or 750	95 or 595	1	250 or 750	Base Station report*	220	   
	1064	1	0 or 1125	496	1	0 or 1125	Data Link  Management + general purpose *		   
	227	0, 1, 2 or 3	0 or 1125	802	0, 1, 2 or 3	0 or 1125	General purpose *		   
28-I	96	1	250 or 750	221 or 471	1	250 or 750	Base Station report*	96	   
	812	1	0 or 1125	237	1	0 or 1125	Data Link  Management + general purpose *		   
	502	0, 1, 2 or 3	0 or 1125	1102	0, 1, 2 or 3	0 or 1125	General purpose *		   
28-II	221	1	250 or 750	96 or 596	1	250 or 750	Base Station report*	221	   
	237	1	0 or 1125	812	1	0 or 1125	Data Link  Management + general purpose *		   
	1102	0, 1, 2 or 3	0 or 1125	502	0, 1, 2 or 3	0 or 1125	General purpose *		   
29-I	100	1	250 or 750	225 or 475	1	250 or 750	Base Station report*	100	   
	813	1	0 or 1125	238	1	0 or 1125	Data Link  Management + general purpose *		   
	512	0, 1, 2 or 3	0 or 1125	1087	0, 1, 2 or 3	0 or 1125	General purpose *		   
29-II	225	1	250 or 750	100 or 600	1	250 or 750	Base Station report*	225	   
	238	1	0 or 1125	813	1	0 or 1125	Data Link  Management + general purpose *		   
	1087	0, 1, 2 or 3	0 or 1125	512	0, 1, 2 or 3	0 or 1125	General purpose *		   
30-I	101	1	250 or 750	226 or 476	1	250 or 750	Base Station report*	101	   
	814	1	0 or 1125	239	1	0 or 1125	Data Link  Management + general purpose *		   
	527	0, 1, 2 or 3	0 or 1125	1077	0, 1, 2 or 3	0 or 1125	General purpose *		   
30-II	226	1	250 or 750	101 or 601	1	250 or 750	Base Station report*	226	   
	239	1	0 or 1125	814	1	0 or 1125	Data Link  Management + general purpose *		   
	1077	0, 1, 2 or 3	0 or 1125	527	0, 1, 2 or 3	0 or 1125	General purpose *		   
31-I	110	1	250 or 750	235 or 485	1	250 or 750	Base Station report*	110	   
	537	1	0 or 1125	1113	1	0 or 1125	Data Link  Management + general purpose *		   
	827	0, 1, 2 or 3	0 or 1125	244	0, 1, 2 or 3	0 or 1125	General purpose *		   
31-II	235	1	250 or 750	110 or 610	1	250 or 750	Base Station report*	235	   
	1113	1	0 or 1125	537	1	0 or 1125	Data Link  Management + general purpose *		   
	244	0, 1, 2 or 3	0 or 1125	827	0, 1, 2 or 3	0 or 1125	General purpose *		   
32-I	111	1	250 or 750	236 or 486	1	250 or 750	Base Station report*	111	   
	538	1	0 or 1125	1114	1	0 or 1125	Data Link  Management + general purpose *		   
	837	0, 1, 2 or 3	0 or 1125	252	0, 1, 2 or 3	0 or 1125	General purpose *		   
32-II	236	1	250 or 750	111 or 611	1	250 or 750	Base Station report*	236	   
	1114	1	0 or 1125	538	1	0 or 1125	Data Link  Management + general purpose *		   
	252	0, 1, 2 or 3	0 or 1125	837	0, 1, 2 or 3	0 or 1125	General purpose *		 
33-I	18	1	250 or 750	143 or 393	1	250 or 750	Base Station report*	18	   
	552	1	0 or 1125	1112	1	0 or 1125	Data Link  Management + general purpose *		   
	2	0, 1, 2 or 3	0 or 1125	852	0, 1, 2 or 3	0 or 1125	General purpose *		   
33-II	143	1	250 or 750	18 or 518	1	250 or 750	Base Station report*	143	   
	1112	1 or 2	0 or 1125	552	1 or 2	0 or 1125	Data Link  Management + general purpose *		   
	852	0, 1, 2 or 3	0 or 1125	2	0, 1, 2 or 3	0 or 1125	General purpose *		   
34-I	43	1	250 or 750	168 or 418	1	250 or 750	Base Station report*	43	   
	562	1	0 or 1125	553	1	0 or 1125	Data Link  Management + general purpose *		   
	262	0, 1, 2 or 3	0 or 1125	862	0, 1, 2 or 3	0 or 1125	General purpose *		   
34-II	168	1	250 or 750	43 or 543	1	250 or 750	Base Station report*	168	   
	553	1	0 or 1125	562	1	0 or 1125	Data Link  Management + general purpose *		   
	862	0, 1, 2 or 3	0 or 1125	262	0, 1, 2 or 3	0 or 1125	General purpose *		   
35-I	68	1	250 or 750	193 or 443	1	250 or 750	Base Station report*	68	   
	577	1	0 or 1125	1118	1	0 or 1125	Data Link  Management + general purpose *		   
	277	0, 1, 2 or 3	0 or 1125	869	0, 1, 2 or 3	0 or 1125	General purpose *		   
35-II	193	1	250 or 750	68 or 568	1	250 or 750	Base Station report*	193	   
	1118	1	0 or 1125	577	1	0 or 1125	Data Link  Management + general purpose *		   
	869	0, 1, 2 or 3	0 or 1125	277	0, 1, 2 or 3	0 or 1125	General purpose *		   
36-I	93	1	250 or 750	218 or 468	1	250 or 750	Base Station report*	93	   
	587	1	0 or 1125	993	1	0 or 1125	Data Link  Management + general purpose *		   
	302	0, 1, 2 or 3	0 or 1125	1119	0, 1, 2 or 3	0 or 1125	General purpose *		   
36-II	218	1	250 or 750	93 or 593	1	250 or 750	Base Station report*	218	   
	993	1	0 or 1125	587	1	0 or 1125	Data Link  Management + general purpose *		   
	1119	0, 1, 2 or 3	0 or 1125	302	0, 1, 2 or 3	0 or 1125	General purpose *		 


